availability_id,coach_id,day,period,available,restriction_reason
1,1,MON,am,False,full_day_off
2,1,MON,pm,False,full_day_off
3,1,TUE,am,False,half_day_off
4,1,TUE,pm,True,
5,1,WED,am,True,
6,1,WED,pm,True,
7,1,THU,am,True,
8,1,THU,pm,True,
9,1,FRI,am,True,
10,1,FRI,pm,True,
11,1,SAT,am,True,
12,1,SAT,pm,True,
13,1,SUN,am,True,
14,1,SUN,pm,True,
1,2,MON,am,False,full_day_off
2,2,MON,pm,False,full_day_off
3,2,TUE,am,False,half_day_off
4,2,TUE,pm,True,
5,2,WED,am,True,
6,2,WED,pm,True,
7,2,THU,am,True,
8,2,THU,pm,True,
9,2,FRI,am,True,
10,2,FRI,pm,True,
11,2,SAT,am,True,
12,2,SAT,pm,True,
13,2,SUN,am,True,
14,2,SUN,pm,True,
1,3,MON,am,False,full_day_off
2,3,MON,pm,False,full_day_off
3,3,TUE,am,False,half_day_off
4,3,TUE,pm,True,
5,3,WED,am,True,
6,3,WED,pm,True,
7,3,THU,am,True,
8,3,THU,pm,True,
9,3,FRI,am,True,
10,3,FRI,pm,True,
11,3,SAT,am,True,
12,3,SAT,pm,True,
13,3,SUN,am,True,
14,3,SUN,pm,True,
1,4,MON,am,False,full_day_off
2,4,MON,pm,False,full_day_off
3,4,TUE,am,False,half_day_off
4,4,TUE,pm,True,
5,4,WED,am,True,
6,4,WED,pm,True,
7,4,THU,am,True,
8,4,THU,pm,True,
9,4,FRI,am,True,
10,4,FRI,pm,True,
11,4,SAT,am,True,
12,4,SAT,pm,True,
13,4,SUN,am,True,
14,4,SUN,pm,True,
1,5,MON,am,False,full_day_off
2,5,MON,pm,False,full_day_off
3,5,TUE,am,False,half_day_off
4,5,TUE,pm,True,
5,5,WED,am,True,
6,5,WED,pm,True,
7,5,THU,am,True,
8,5,THU,pm,True,
9,5,FRI,am,True,
10,5,FRI,pm,True,
11,5,SAT,am,True,
12,5,SAT,pm,True,
13,5,SUN,am,True,
14,5,SUN,pm,True,
1,6,MON,am,False,full_day_off
2,6,MON,pm,False,full_day_off
3,6,TUE,am,False,half_day_off
4,6,TUE,pm,True,
5,6,WED,am,True,
6,6,WED,pm,True,
7,6,THU,am,True,
8,6,THU,pm,True,
9,6,FRI,am,True,
10,6,FRI,pm,True,
11,6,SAT,am,True,
12,6,SAT,pm,True,
13,6,SUN,am,True,
14,6,SUN,pm,True,
1,7,MON,am,True,
2,7,MON,pm,True,
3,7,TUE,am,True,
4,7,TUE,pm,True,
5,7,WED,am,True,
6,7,WED,pm,True,
7,7,THU,am,True,
8,7,THU,pm,True,
9,7,FRI,am,False,full_day_off
10,7,FRI,pm,False,full_day_off
11,7,SAT,am,True,
12,7,SAT,pm,True,
13,7,SUN,am,False,full_day_off
14,7,SUN,pm,False,full_day_off
1,8,MON,am,False,full_day_off
2,8,MON,pm,False,full_day_off
3,8,TUE,am,False,half_day_off
4,8,TUE,pm,True,
5,8,WED,am,True,
6,8,WED,pm,True,
7,8,THU,am,True,
8,8,THU,pm,True,
9,8,FRI,am,True,
10,8,FRI,pm,True,
11,8,SAT,am,True,
12,8,SAT,pm,True,
13,8,SUN,am,True,
14,8,SUN,pm,True,
1,9,MON,am,False,time_restriction
2,9,MON,pm,False,time_restriction
3,9,TUE,am,False,time_restriction
4,9,TUE,pm,False,time_restriction
5,9,WED,am,False,time_restriction
6,9,WED,pm,False,time_restriction
7,9,THU,am,False,time_restriction
8,9,THU,pm,False,time_restriction
9,9,FRI,am,False,time_restriction
10,9,FRI,pm,False,time_restriction
11,9,SAT,am,False,time_restriction
12,9,SAT,pm,False,time_restriction
13,9,SUN,am,True,
14,9,SUN,pm,True,
1,10,MON,am,False,time_restriction
2,10,MON,pm,False,time_restriction
3,10,TUE,am,False,time_restriction
4,10,TUE,pm,False,time_restriction
5,10,WED,am,False,time_restriction
6,10,WED,pm,False,time_restriction
7,10,THU,am,False,time_restriction
8,10,THU,pm,False,time_restriction
9,10,FRI,am,True,
10,10,FRI,pm,True,
11,10,SAT,am,True,
12,10,SAT,pm,True,
13,10,SUN,am,True,
14,10,SUN,pm,True,
1,11,MON,am,False,time_restriction
2,11,MON,pm,False,time_restriction
3,11,TUE,am,False,time_restriction
4,11,TUE,pm,False,time_restriction
5,11,WED,am,False,time_restriction
6,11,WED,pm,False,time_restriction
7,11,THU,am,False,time_restriction
8,11,THU,pm,False,time_restriction
9,11,FRI,am,True,
10,11,FRI,pm,True,
11,11,SAT,am,True,
12,11,SAT,pm,True,
13,11,SUN,am,True,
14,11,SUN,pm,True,
1,12,MON,am,False,time_restriction
2,12,MON,pm,False,time_restriction
3,12,TUE,am,False,time_restriction
4,12,TUE,pm,False,time_restriction
5,12,WED,am,False,time_restriction
6,12,WED,pm,False,time_restriction
7,12,THU,am,False,time_restriction
8,12,THU,pm,False,time_restriction
9,12,FRI,am,False,time_restriction
10,12,FRI,pm,False,time_restriction
11,12,SAT,am,True,
12,12,SAT,pm,True,
13,12,SUN,am,True,
14,12,SUN,pm,True,
1,13,MON,am,True,
2,13,MON,pm,True,
3,13,TUE,am,False,half_day_off
4,13,TUE,pm,True,
5,13,WED,am,False,full_day_off
6,13,WED,pm,False,full_day_off
7,13,THU,am,True,
8,13,THU,pm,True,
9,13,FRI,am,True,
10,13,FRI,pm,True,
11,13,SAT,am,True,
12,13,SAT,pm,True,
13,13,SUN,am,True,
14,13,SUN,pm,True,
1,14,MON,am,False,half_day_off
2,14,MON,pm,True,
3,14,TUE,am,False,full_day_off
4,14,TUE,pm,False,full_day_off
5,14,WED,am,True,
6,14,WED,pm,True,
7,14,THU,am,True,
8,14,THU,pm,True,
9,14,FRI,am,True,
10,14,FRI,pm,True,
11,14,SAT,am,True,
12,14,SAT,pm,True,
13,14,SUN,am,True,
14,14,SUN,pm,True,
1,15,MON,am,False,full_day_off
2,15,MON,pm,False,full_day_off
3,15,TUE,am,False,half_day_off
4,15,TUE,pm,True,
5,15,WED,am,True,
6,15,WED,pm,True,
7,15,THU,am,True,
8,15,THU,pm,True,
9,15,FRI,am,True,
10,15,FRI,pm,True,
11,15,SAT,am,True,
12,15,SAT,pm,True,
13,15,SUN,am,True,
14,15,SUN,pm,True,
1,16,MON,am,False,full_day_off
2,16,MON,pm,False,full_day_off
3,16,TUE,am,False,half_day_off
4,16,TUE,pm,True,
5,16,WED,am,True,
6,16,WED,pm,True,
7,16,THU,am,True,
8,16,THU,pm,True,
9,16,FRI,am,True,
10,16,FRI,pm,True,
11,16,SAT,am,True,
12,16,SAT,pm,True,
13,16,SUN,am,True,
14,16,SUN,pm,True,
1,17,MON,am,False,full_day_off
2,17,MON,pm,False,full_day_off
3,17,TUE,am,False,half_day_off
4,17,TUE,pm,True,
5,17,WED,am,True,
6,17,WED,pm,True,
7,17,THU,am,True,
8,17,THU,pm,True,
9,17,FRI,am,True,
10,17,FRI,pm,True,
11,17,SAT,am,True,
12,17,SAT,pm,True,
13,17,SUN,am,True,
14,17,SUN,pm,True,
1,18,MON,am,False,full_day_off
2,18,MON,pm,False,full_day_off
3,18,TUE,am,False,half_day_off
4,18,TUE,pm,True,
5,18,WED,am,True,
6,18,WED,pm,True,
7,18,THU,am,True,
8,18,THU,pm,True,
9,18,FRI,am,True,
10,18,FRI,pm,True,
11,18,SAT,am,True,
12,18,SAT,pm,True,
13,18,SUN,am,True,
14,18,SUN,pm,True,
1,19,MON,am,False,time_restriction
2,19,MON,pm,False,time_restriction
3,19,TUE,am,False,time_restriction
4,19,TUE,pm,False,time_restriction
5,19,WED,am,False,time_restriction
6,19,WED,pm,False,time_restriction
7,19,THU,am,False,time_restriction
8,19,THU,pm,False,time_restriction
9,19,FRI,am,False,time_restriction
10,19,FRI,pm,False,time_restriction
11,19,SAT,am,True,
12,19,SAT,pm,True,
13,19,SUN,am,True,
14,19,SUN,pm,True,
1,20,MON,am,False,time_restriction
2,20,MON,pm,False,time_restriction
3,20,TUE,am,False,time_restriction
4,20,TUE,pm,False,time_restriction
5,20,WED,am,False,time_restriction
6,20,WED,pm,False,time_restriction
7,20,THU,am,False,time_restriction
8,20,THU,pm,False,time_restriction
9,20,FRI,am,False,time_restriction
10,20,FRI,pm,False,time_restriction
11,20,SAT,am,True,
12,20,SAT,pm,True,
13,20,SUN,am,True,
14,20,SUN,pm,True,
1,21,MON,am,False,full_day_off
2,21,MON,pm,False,full_day_off
3,21,TUE,am,False,half_day_off
4,21,TUE,pm,True,
5,21,WED,am,True,
6,21,WED,pm,True,
7,21,THU,am,True,
8,21,THU,pm,True,
9,21,FRI,am,True,
10,21,FRI,pm,True,
11,21,SAT,am,True,
12,21,SAT,pm,True,
13,21,SUN,am,True,
14,21,SUN,pm,True,
1,22,MON,am,False,full_day_off
2,22,MON,pm,False,full_day_off
3,22,TUE,am,False,half_day_off
4,22,TUE,pm,True,
5,22,WED,am,True,
6,22,WED,pm,True,
7,22,THU,am,True,
8,22,THU,pm,True,
9,22,FRI,am,True,
10,22,FRI,pm,True,
11,22,SAT,am,True,
12,22,SAT,pm,True,
13,22,SUN,am,True,
14,22,SUN,pm,True,
1,23,MON,am,False,full_day_off
2,23,MON,pm,False,full_day_off
3,23,TUE,am,False,half_day_off
4,23,TUE,pm,True,
5,23,WED,am,True,
6,23,WED,pm,True,
7,23,THU,am,True,
8,23,THU,pm,True,
9,23,FRI,am,True,
10,23,FRI,pm,True,
11,23,SAT,am,True,
12,23,SAT,pm,True,
13,23,SUN,am,True,
14,23,SUN,pm,True,
1,24,MON,am,False,time_restriction
2,24,MON,pm,False,time_restriction
3,24,TUE,am,False,time_restriction
4,24,TUE,pm,False,time_restriction
5,24,WED,am,False,time_restriction
6,24,WED,pm,False,time_restriction
7,24,THU,am,False,time_restriction
8,24,THU,pm,False,time_restriction
9,24,FRI,am,True,
10,24,FRI,pm,True,
11,24,SAT,am,True,
12,24,SAT,pm,True,
13,24,SUN,am,True,
14,24,SUN,pm,True,
1,25,MON,am,True,
2,25,MON,pm,True,
3,25,TUE,am,True,
4,25,TUE,pm,True,
5,25,WED,am,False,time_restriction
6,25,WED,pm,False,time_restriction
7,25,THU,am,False,time_restriction
8,25,THU,pm,False,time_restriction
9,25,FRI,am,False,time_restriction
10,25,FRI,pm,False,time_restriction
11,25,SAT,am,True,
12,25,SAT,pm,True,
13,25,SUN,am,True,
14,25,SUN,pm,True,
1,26,MON,am,False,time_restriction
2,26,MON,pm,False,time_restriction
3,26,TUE,am,False,time_restriction
4,26,TUE,pm,False,time_restriction
5,26,WED,am,False,time_restriction
6,26,WED,pm,False,time_restriction
7,26,THU,am,False,time_restriction
8,26,THU,pm,False,time_restriction
9,26,FRI,am,False,time_restriction
10,26,FRI,pm,False,time_restriction
11,26,SAT,am,True,
12,26,SAT,pm,True,
13,26,SUN,am,True,
14,26,SUN,pm,True,
1,27,MON,am,False,full_day_off
2,27,MON,pm,False,full_day_off
3,27,TUE,am,False,half_day_off
4,27,TUE,pm,True,
5,27,WED,am,True,
6,27,WED,pm,True,
7,27,THU,am,True,
8,27,THU,pm,True,
9,27,FRI,am,True,
10,27,FRI,pm,True,
11,27,SAT,am,True,
12,27,SAT,pm,True,
13,27,SUN,am,True,
14,27,SUN,pm,True,
