Branch,Level Category Base,Count
BB,Advance,6
BB,Bubbly,56
BB,Free,13
BB,Flexi,55
BB,Jolly,18
BB,L1,90
BB,L2,72
BB,L3,39
BB,L4,19
BB,Lively,53
CCK,Tots,2
CCK,Bubbly,62
CCK,Flexi,40
CCK,Jolly,21
CCK,L1,81
CCK,L2,53
CCK,L3,55
CCK,L4,17
CCK,Lively,71
CH,Bubbly,64
CH,Flexi,95
CH,Jolly,18
CH,L1,106
CH,L2,71
CH,L3,27
CH,L4,20
CH,Advance,9
CH,Lively,78
HG,Bubbly,85
HG,Flexi,70
HG,Jolly,29
HG,L1,142
HG,L2,53
HG,L3,9
HG,Lively,81
KT,Advance,3
KT,Tots,7
KT,Bubbly,74
KT,Flexi,59
KT,Jolly,39
KT,L1,75
KT,L2,44
KT,L3,28
KT,L4,6
KT,Advance,3
KT,Lively,69
PR,Tots,5
PR,Bubbly,61
PR,L3,16
PR,Flexi,20
PR,Jolly,32
PR,L1,55
PR,L2,17
PR,Lively,44
