time_slot,day,level
08:30-12:30,WED,Tots
08:30-12:30,WED,Jolly
08:30-12:30,WED,Bubbly
08:30-12:30,THU,Tots
08:30-12:30,THU,Jolly
08:30-12:30,THU,Bubbly
08:30-12:30,FRI,Tots
08:30-12:30,FRI,Jolly
08:30-12:30,FRI,Bubbly
08:30-12:30,SAT,Tots
08:30-12:30,SAT,Jolly
08:30-12:30,SAT,Bubbly
08:30-12:30,SAT,Lively
08:30-12:30,SAT,Flexi
08:30-12:30,SAT,L1
08:30-12:30,SUN,Tots
08:30-12:30,SUN,Jolly
08:30-12:30,SUN,Bubbly
08:30-12:30,SUN,Lively
08:30-12:30,SUN,Flexi
08:30-12:30,SUN,L1
12:30-15:30,SAT,L1
12:30-15:30,SAT,L2
12:30-15:30,SAT,L3
12:30-15:30,SAT,L4
12:30-15:30,SAT,Advance
12:30-15:30,SAT,Free
12:30-15:30,SUN,L1
12:30-15:30,SUN,L2
12:30-15:30,SUN,L3
12:30-15:30,SUN,L4
12:30-15:30,SUN,Advance
12:30-15:30,SUN,Free
15:30-16:30,TUE,Jolly
15:30-16:30,TUE,Bubbly
15:30-16:30,TUE,Lively
15:30-16:30,TUE,Flexi
15:30-16:30,TUE,L1
15:30-16:30,TUE,L2
15:30-16:30,TUE,L3
15:30-16:30,TUE,L4
15:30-16:30,TUE,Advance
15:30-16:30,TUE,Free
15:30-16:30,WED,Jolly
15:30-16:30,WED,Bubbly
15:30-16:30,WED,Lively
15:30-16:30,WED,Flexi
15:30-16:30,WED,L1
15:30-16:30,WED,L2
15:30-16:30,WED,L3
15:30-16:30,WED,L4
15:30-16:30,WED,Advance
15:30-16:30,WED,Free
15:30-16:30,THU,Jolly
15:30-16:30,THU,Bubbly
15:30-16:30,THU,Lively
15:30-16:30,THU,Flexi
15:30-16:30,THU,L1
15:30-16:30,THU,L2
15:30-16:30,THU,L3
15:30-16:30,THU,L4
15:30-16:30,THU,Advance
15:30-16:30,THU,Free
15:30-16:30,FRI,Jolly
15:30-16:30,FRI,Bubbly
15:30-16:30,FRI,Lively
15:30-16:30,FRI,Flexi
15:30-16:30,FRI,L1
15:30-16:30,FRI,L2
15:30-16:30,FRI,L3
15:30-16:30,FRI,L4
15:30-16:30,FRI,Advance
15:30-16:30,FRI,Free
15:30-16:30,SAT,Lively
15:30-16:30,SAT,Flexi
15:30-16:30,SAT,L1
15:30-16:30,SAT,L2
15:30-16:30,SAT,L3
15:30-16:30,SAT,L4
15:30-16:30,SAT,Advance
15:30-16:30,SAT,Free
15:30-16:30,SUN,Lively
15:30-16:30,SUN,Flexi
15:30-16:30,SUN,L1
15:30-16:30,SUN,L2
15:30-16:30,SUN,L3
15:30-16:30,SUN,L4
15:30-16:30,SUN,Advance
15:30-16:30,SUN,Free
16:30-18:30,TUE,Jolly
16:30-18:30,TUE,Bubbly
16:30-18:30,TUE,Lively
16:30-18:30,TUE,Flexi
16:30-18:30,TUE,L1
16:30-18:30,TUE,L2
16:30-18:30,TUE,L3
16:30-18:30,TUE,L4
16:30-18:30,TUE,Advance
16:30-18:30,TUE,Free
16:30-18:30,WED,Jolly
16:30-18:30,WED,Bubbly
16:30-18:30,WED,Lively
16:30-18:30,WED,Flexi
16:30-18:30,WED,L1
16:30-18:30,WED,L2
16:30-18:30,WED,L3
16:30-18:30,WED,L4
16:30-18:30,WED,Advance
16:30-18:30,WED,Free
16:30-18:30,THU,Jolly
16:30-18:30,THU,Bubbly
16:30-18:30,THU,Lively
16:30-18:30,THU,Flexi
16:30-18:30,THU,L1
16:30-18:30,THU,L2
16:30-18:30,THU,L3
16:30-18:30,THU,L4
16:30-18:30,THU,Advance
16:30-18:30,THU,Free
16:30-18:30,FRI,Jolly
16:30-18:30,FRI,Bubbly
16:30-18:30,FRI,Lively
16:30-18:30,FRI,Flexi
16:30-18:30,FRI,L1
16:30-18:30,FRI,L2
16:30-18:30,FRI,L3
16:30-18:30,FRI,L4
16:30-18:30,FRI,Advance
16:30-18:30,FRI,Free
16:30-18:30,SAT,Tots
16:30-18:30,SAT,Jolly
16:30-18:30,SAT,Bubbly
16:30-18:30,SAT,Lively
16:30-18:30,SAT,Flexi
16:30-18:30,SAT,L1
16:30-18:30,SUN,Tots
16:30-18:30,SUN,Jolly
16:30-18:30,SUN,Bubbly
16:30-18:30,SUN,Lively
16:30-18:30,SUN,Flexi
16:30-18:30,SUN,L1
